ID,Name,TeamName,MatchesPlayed,WicketsTaken
1,AL Phehlukwayo,South Africa,9,11
2,CH Morris,South Africa,8,13
3,CR Woakes,England,11,16
4,Imran Tahir,South Africa,9,11
5,JC Archer,England,11,20
6,JDS Neesham,New Zealand,10,15
7,JJ Bumrah,India,9,18
8,JP Behrendorff,Australia,5,9
9,K Rabada,South Africa,9,11
10,LE Plunkett,England,7,11
11,LH Ferguson,New Zealand,9,21
12,MA Starc,Australia,10,27
13,MA Wood,England,10,18
14,MJ Henry,New Zealand,9,14
15,Mohammed Shami,India,4,14
16,PJ Cummins,Australia,10,14
17,TA Boult,New Zealand,10,17
18,YS Chahal,India,8,12
